index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,operating_cost
773,2004,Blood Rites,Jim Butcher,eng,,4.33,79627.0,Non-Fiction,1041.68,625.008,8.98,"Amazon Digital Services,  Inc.",28944.0,416.672
774,1942,The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal",en-US,,4.09,92916.0,Fiction,1506.84,904.104,12.99,Simon and Schuster Digital Sales Inc,28944.0,602.7359999999999
775,2013,The Silent Wife,A.S.A. Harrison,eng,Beginner,3.3,60323.0,Non-Fiction,784.16,470.496,6.76,"Amazon Digital Services,  Inc.",28728.0,313.664
776,2011,How to Be a Woman,Caitlin Moran,eng,Intermediate,3.73,70446.0,Fiction,346.84,0.0,2.99,"Amazon Digital Services,  Inc.",28512.0,346.84
777,2016,A Court of Mist and Fury,Sarah J. Maas,eng,,4.72,108384.0,Fiction,1158.84,695.304,9.99,Simon and Schuster Digital Sales Inc,28512.0,463.53599999999994
778,2010,Life,Keith Richards,en-GB,Intermediate,3.84,60409.0,Fiction,926.84,556.104,7.99,Random House LLC,28512.0,370.736
779,2008,Unaccustomed Earth,Jhumpa Lahiri,eng,,4.11,60126.0,Fiction,458.85,0.0,3.99,"Amazon Digital Services,  Inc.",28296.0,458.85
780,1998,The Pilot's Wife,Anita Shreve,eng,Intermediate,3.5,71777.0,Fiction,1367.35,820.41,11.89,Simon and Schuster Digital Sales Inc,28296.0,546.9399999999999
781,1985,White Noise,Don DeLillo,eng,Intermediate,3.86,55678.0,Fiction,573.85,0.0,4.99,"Amazon Digital Services,  Inc.",28296.0,573.85
782,1992,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,eng,,4.42,66079.0,Fiction,343.85,0.0,2.99,"Amazon Digital Services,  Inc.",2943.0,343.85
783,1859,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,Charles Darwin,eng,Intermediate,3.97,64162.0,Fiction,1033.85,620.31,8.99,HarperCollins Publishers,2943.0,413.53999999999996
784,2003,Blankets,Craig Thompson,eng,,4.06,70454.0,Fiction,343.85,0.0,2.99,"Amazon Digital Services,  Inc.",2943.0,343.85
785,2008,The Story of Edgar Sawtelle,David Wroblewski,eng,Intermediate,3.6,70382.0,Non-Fiction,343.85,0.0,2.99,"Amazon Digital Services,  Inc.",2943.0,343.85
786,2000,Drowning Ruth,Christina Schwarz,eng,Intermediate,3.73,67768.0,Fiction,573.85,0.0,4.99,"Amazon Digital Services,  Inc.",2916.0,573.85
787,1971,Post Office,Charles Bukowski,en-US,,4.01,59295.0,Non-Fiction,343.85,206.31,2.99,HarperCollins Publishers,2916.0,137.54000000000002
788,1992,All the Pretty Horses,Cormac McCarthy,eng,Intermediate,3.97,68451.0,Fiction,458.85,0.0,3.99,"Amazon Digital Services,  Inc.",2916.0,458.85
790,1997,"One Piece, Volume 01","EiichirÅ Oda, Andy Nakatani",eng,,4.42,67047.0,Fiction,458.85,0.0,3.99,"Amazon Digital Services,  Inc.",2916.0,458.85
791,1968,The Last Unicorn,Peter S. Beagle,eng,,4.18,76277.0,Fiction,343.85,0.0,2.99,"Amazon Digital Services,  Inc.",2916.0,343.85
792,2005,Magyk,Angie Sage,eng,Intermediate,3.8,86805.0,Fiction,343.85,206.31,2.99,"Amazon Digital Services,  Inc.",2916.0,137.54000000000002
793,2000,Fever 1793,Laurie Halse Anderson,en-US,Intermediate,3.89,81945.0,Fiction,458.85,0.0,3.99,"Amazon Digital Services,  Inc.",2916.0,458.85
794,2008,The Likeness,Tana French,eng,,4.05,72480.0,Fiction,803.85,482.31,6.99,Penguin Group (USA) LLC,2916.0,321.54
